gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup
3734,20211231,2021,INDL,C,D,STD,DAN,USD,A,2510
3735,20211231,2021,INDL,C,D,STD,DHR,USD,A,3520
3813,20210131,2020,INDL,C,D,STD,TGT,USD,A,2550
3835,20211031,2021,INDL,C,D,STD,DE,USD,A,2010
3851,20211231,2021,INDL,C,D,STD,DAL,USD,A,2030
3863,20211231,2021,INDL,C,D,STD,DLX,USD,A,2020
3897,20211231,2021,INDL,C,D,STD,DTE,USD,A,5510
3946,20211231,2021,INDL,C,D,STD,DBD,USD,A,4520
3964,20210131,2020,INDL,C,D,STD,DDS,USD,A,2550
3969,20211231,2021,INDL,C,D,STD,DIOD,USD,A,4530
3980,20210930,2021,INDL,C,D,STD,DIS,USD,A,5020
4016,20210131,2020,INDL,C,D,STD,DG,USD,A,2550
4029,20211231,2021,INDL,C,D,STD,D,USD,A,5510
4036,20210731,2021,INDL,C,D,STD,DCI,USD,A,2010
4058,20211231,2021,INDL,C,D,STD,DOV,USD,A,2010
4066,20211231,2021,INDL,C,D,STD,OMC,USD,A,5020
4091,20211231,2021,INDL,C,D,STD,DCO,USD,A,2010
4093,20211231,2021,INDL,C,D,STD,DUK,USD,A,5510
4108,20211231,2021,INDL,C,D,STD,FLS,USD,A,2010
4115,20210131,2020,INDL,C,D,STD,DY,USD,A,2010
4145,20211231,2021,INDL,C,D,STD,PKI,USD,A,3520
4193,20211231,2021,INDL,C,D,STD,EGP,USD,A,6010
4194,20211231,2021,INDL,C,D,STD,KODK,USD,A,4520
4199,20211231,2021,INDL,C,D,STD,ETN,USD,A,2010
4213,20211231,2021,INDL,C,D,STD,ECL,USD,A,1510
4321,20210930,2021,INDL,C,D,STD,EMR,USD,A,2010
4383,20210930,2021,INDL,C,D,STD,ATO,USD,A,5510
4384,20211231,2021,INDL,C,D,STD,MARA,USD,A,4510
4390,20210228,2020,INDL,C,D,STD,EBF,USD,A,2020
4423,20211231,2021,INDL,C,D,STD,EFX,USD,A,2020
4430,20211231,2021,INDL,C,D,STD,EQT,USD,A,1010
4462,20211231,2021,INDL,C,D,STD,NEU,USD,A,1510
4494,20211231,2021,INDL,C,D,STD,EXPD,USD,A,2030
4497,20211231,2021,INDL,C,D,STD,BOOM,USD,A,1010
4498,20210930,2021,INDL,C,D,STD,IIIN,USD,A,2010
4510,20211231,2021,INDL,C,D,STD,FMC,USD,A,1510
4517,20211231,2021,INDL,C,D,STD,NEE,USD,A,5510
4598,20210531,2020,INDL,C,D,STD,FDX,USD,A,2030
4605,20211231,2021,INDL,C,D,STD,FRT,USD,A,6010
4608,20211231,2021,INDL,C,D,STD,FSS,USD,A,2010
4611,20210131,2020,INDL,C,D,STD,M,USD,A,2550
4622,20211231,2021,INDL,C,D,STD,FOE,USD,A,1510
4640,20211231,2021,INDL,C,D,STD,FITB,USD,A,4010
4674,20211231,2021,INDL,C,D,STD,RF,USD,A,4010
4685,20211231,2021,INDL,C,D,STD,TRMK,USD,A,4010
4690,20211231,2021,INDL,C,D,STD,FCNCA,USD,A,4010
4699,20211231,2021,INDL,C,D,STD,MTB,USD,A,4010
4723,20211231,2021,INDL,C,D,STD,USB,USD,A,4010
4737,20211231,2021,INDL,C,D,STD,FHN,USD,A,4010
4809,20211231,2021,INDL,C,D,STD,FLO,USD,A,3020
4818,20211231,2021,INDL,C,D,STD,FLR,USD,A,2010
4839,20211231,2021,INDL,C,D,STD,F,USD,A,2510
4881,20211231,2021,INDL,C,D,STD,FELE,USD,A,2010
4885,20210930,2021,INDL,C,D,STD,BEN,USD,A,4020
4926,20211130,2021,INDL,C,D,STD,FUL,USD,A,1510
4941,20211231,2021,INDL,C,D,STD,GATX,USD,A,2010
4973,20211231,2021,INDL,C,D,STD,AJG,USD,A,4030
4988,20211231,2021,INDL,C,D,STD,TGNA,USD,A,5020
4990,20210131,2020,INDL,C,D,STD,GPS,USD,A,2550
5018,20211231,2021,INDL,C,D,STD,AJRD,USD,A,2010
5046,20211231,2021,INDL,C,D,STD,GD,USD,A,2010
5047,20211231,2021,INDL,C,D,STD,GE,USD,A,2010
5071,20210531,2020,INDL,C,D,STD,GIS,USD,A,3020
5072,20211231,2021,INDL,C,D,STD,ALLY,USD,A,4020
5073,20211231,2021,INDL,C,D,STD,GM,USD,A,2510
5087,20211231,2021,INDL,C,D,STD,SPXC,USD,A,2010
5109,20210131,2020,INDL,C,D,STD,GCO,USD,A,2550
5116,20211231,2021,INDL,C,D,STD,GNTX,USD,A,2510
5125,20211231,2021,INDL,C,D,STD,GPC,USD,A,2550
5149,20211231,2021,INDL,C,D,STD,GTY,USD,A,6010
