gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,ebit,lct,lt,ni,sale,costat,prcc_c
7741,20211231,2021,INDL,C,D,STD,NHC,USD,426.638,1403.396,903.004,15.452,-2.292,263.201,494.936,138.59,990.46,A,67.94
7750,20211231,2021,INDL,C,D,STD,THC,USD,7075,27579,1028,107.189,2218,5109,23322,914,19485,A,81.69
7762,20211231,2021,INDL,C,D,STD,NPK,USD,348.053,420.398,357.623,7.042,37.644,53.159,62.775,25.654,355.777,A,82.03
7849,20210930,2021,INDL,C,D,STD,NJR,USD,634.274,5722.278,1630.862,95.71,288.35,1051.41,4091.416,117.89,2156.613,A,41.06
7866,20211231,2021,INDL,C,D,STD,NYT,USD,952.708,2564.108,1538.72,167.883,272.866,559.152,1023.383,219.971,2074.877,A,48.3
7875,20211231,2021,INDL,C,D,STD,NWL,USD,4262,14179,4091,425.5,1052,3317,10088,572,10589,A,21.84
7881,20211231,2021,INDL,C,D,STD,NEM,USD,7696,40564,22022,792,1970,2654,18703,1166,12222,A,62.02
7882,20211231,2021,INDL,C,D,STD,NR,USD,388.512,752.886,462.386,92.35,-6.817,150.392,290.5,-25.526,614.781,A,2.94
7906,20210531,2020,INDL,C,D,STD,NKE,USD,26291,37740,12767,1578,7186,9674,24973,5727,44538,A,141.47
7921,20211031,2021,INDL,C,D,STD,NDSN,USD,1164.838,3790.961,2159.13,58.154,615.127,445.394,1631.831,454.368,2362.209,A,255.27
7922,20210131,2020,INDL,C,D,STD,JWN,USD,3642,9538,305,157.8,-767,4120,9233,-690,10715,A,31.21
7923,20211231,2021,INDL,C,D,STD,NSC,USD,2167,38493,13641,240.163,4365,2521,24852,3005,11142,A,297.71
7951,20210131,2020,INDL,C,D,STD,MOV,USD,501.651,719.257,425.264,23.196,26.421,127.671,289.323,-111.518,506.397,A,16.62
7970,20211231,2021,INDL,C,D,STD,ES,USD,3270.12,48492.144,14599.844,344.403,1993.321,5847.039,33736.73,1220.527,9863.085,A,90.98
7974,20211231,2021,INDL,C,D,STD,NI,USD,1920.8,24156.9,5400.8,405.303,1047.6,2746.2,16884,584.9,4899.6,A,27.61
7977,20211231,2021,INDL,C,D,STD,XEL,USD,4239,57851,15612,544.025,2203,5046,42239,1597,13431,A,67.7
7982,20211231,2021,INDL,C,D,STD,NTRS,USD,,183889.8,11131.9,207.762,3407.2,,171873,1545.3,6488.3,A,119.61
7985,20211231,2021,INDL,C,D,STD,NOC,USD,12426,42579,12926,156.284,3671,9530,29653,7005,35667,A,387.07
7991,20211231,2021,INDL,C,D,STD,TEX,USD,1767.8,2863.5,1109.6,69.2,321.6,909.9,1753.9,220.9,3886.8,A,43.95
7993,20211231,2021,INDL,C,D,STD,NWN,USD,437.276,4064.604,935.146,31.129,163.117,724.765,3129.458,78.666,860.4,A,48.78
8001,20211231,2021,INDL,C,D,STD,NWE,USD,437.795,6780.443,2339.713,54.06,268.781,379.642,4440.73,186.84,1372.316,A,57.16
8007,20211231,2021,INDL,C,D,STD,WFC,USD,,1948068,168195,3885.801,35573,,1757958,21548,81732,A,47.98
8030,20211231,2021,INDL,C,D,STD,NUE,USD,12799.557,25823.072,14016.389,272.412,9318.805,5157.413,11219.278,6827.461,36483.939,A,114.15
8068,20211231,2021,INDL,C,D,STD,OXY,USD,10211,75036,10565,934.075,5426,8324,54709,2322,25956,A,28.99
8079,20211231,2021,INDL,C,D,STD,OII,USD,1188.003,1962.859,504.961,99.801,39.799,501.161,1451.835,-49.307,1869.275,A,11.31
8099,20211231,2021,INDL,C,D,STD,FE,USD,3237,45432,8675,570.261,1847,4416,36757,1283,11132,A,41.59
8113,20211231,2021,INDL,C,D,STD,OGE,USD,613.6,12606.4,4056.3,200.1,544.2,1089.6,8550.1,737.3,3653.7,A,38.38
8123,20211231,2021,INDL,C,D,STD,OLN,USD,2248.3,8517.7,2652.2,156.8,1775.2,1682.1,5865.5,1296.7,8910.6,A,57.52
8148,20211231,2021,INDL,C,D,STD,OLP,USD,,752.953,305.332,20.239,32.586,,446.675,38.857,83.821,A,35.28
8151,20211231,2021,INDL,C,D,STD,OKE,USD,2374.374,23621.613,6015.163,446.138,2594.865,3184.619,17606.45,1499.706,16540.309,A,58.76
8199,20211231,2021,INDL,C,D,STD,OTTR,USD,369.354,2754.83,990.777,41.552,249.708,387.699,1764.053,176.769,1196.844,A,71.42
8213,20211231,2021,INDL,C,D,STD,OMI,USD,2321.812,3536.551,938.501,75.433,396.358,1344.021,2598.05,221.589,9785.315,A,43.5
8214,20211231,2021,INDL,C,D,STD,OC,USD,3097,10015,4296,100.4,1386,1697,5680,995,8498,A,90.5
8215,20211231,2021,INDL,C,D,STD,OI,USD,2519,8832,720,156.355,566,1846,8005,149,6381,A,12.03
8219,20210131,2020,INDL,C,D,STD,OXM,USD,258.316,865.634,405.728,16.889,-28.305,196.252,459.906,-95.692,762.857,A,65.51
8245,20211231,2021,INDL,C,D,STD,PNC,USD,,557191,50686,420,8790,,501465,5674,19763,A,200.52
8247,20211231,2021,INDL,C,D,STD,PPG,USD,6774,21351,6286,235.907,1730,4766,14940,1439,16810,A,172.44
8253,20211231,2021,INDL,C,D,STD,PCAR,USD,,29301.7,11437.4,347.3,2441.4,,17864.3,1852.1,23522.3,A,88.26
8264,20211231,2021,INDL,C,D,STD,PCG,USD,11077,103327,20971,1985.401,2658,17427,82104,-88,20642,A,12.14
8272,20211231,2021,INDL,C,D,STD,SRE,USD,4375,72045,25092,316.92,2850,10035,44626,1318,12857,A,132.28
8334,20211231,2021,INDL,C,D,STD,PAR,USD,283.007,888.149,504.345,26.924,-54.619,60.517,383.804,-75.799,282.876,A,52.77
8348,20210228,2020,INDL,C,D,STD,PKE,USD,132.341,163.512,135.941,20.383,7.078,7.993,27.571,4.864,46.276,A,13.41
8358,20210630,2021,INDL,C,D,STD,PH,USD,5616.75,20341.2,8398.307,129.146,2432.784,3096.503,11927.53,1746.1,14347.64,A,318.12
